Jeu;Profondeur;Taille;Joueur 1;Joueur 2;Vainqueur;Temps (ms);Coups;Etats J1;Etats J2
mnk;3;5;minmax;minmax;Joueur1;0,782000;6;46798;37561
mnk;3;5;minmax;alphabeta;Joueur1;0,381000;4;39856;2904
mnk;3;5;minmax;random;Joueur1;0,367000;8;48600;0
mnk;3;5;alphabeta;minmax;Joueur1;0,361000;10;8088;42266
mnk;3;5;alphabeta;alphabeta;Joueur2;0,114000;7;7371;8175
mnk;3;5;alphabeta;random;Joueur1;0,045000;8;5542;0
mnk;3;5;random;minmax;Joueur2;0,264000;6;0;40223
mnk;3;5;random;alphabeta;Joueur2;0,044000;5;0;6263
mnk;3;5;random;random;Joueur2;0,000000;6;0;0
mnk;3;6;minmax;minmax;Draw;3,434000;18;216986;194610
mnk;3;6;minmax;alphabeta;Joueur1;1,689000;10;205110;21099
mnk;3;6;minmax;random;Joueur1;1,461000;7;185625;0
mnk;3;6;alphabeta;minmax;Joueur2;1,671000;16;22646;191583
mnk;3;6;alphabeta;alphabeta;Draw;0,376000;18;23785;22967
mnk;3;6;alphabeta;random;Joueur1;0,225000;15;26186;0
mnk;3;6;random;minmax;Joueur2;1,347000;9;0;178560
mnk;3;6;random;alphabeta;Joueur2;0,128000;16;0;16303
mnk;3;6;random;random;Joueur1;0,000000;12;0;0
mnk;4;5;minmax;minmax;Joueur2;9,686000;11;906552;726406
mnk;4;5;minmax;alphabeta;Joueur1;5,381000;9;897576;35614
mnk;4;5;minmax;random;Joueur1;4,974000;6;870158;0
mnk;4;5;alphabeta;minmax;Joueur2;4,244000;11;44069;718902
mnk;4;5;alphabeta;alphabeta;Joueur1;0,408000;9;31852;35080
mnk;4;5;alphabeta;random;Joueur1;0,274000;6;40820;0
mnk;4;5;random;minmax;Joueur2;3,972000;9;0;718726
mnk;4;5;random;alphabeta;Joueur2;0,252000;5;0;38119
mnk;4;5;random;random;Joueur1;0,002000;9;0;0
mnk;4;6;minmax;minmax;Joueur2;77,501000;16;5807686;5031591
mnk;4;6;minmax;alphabeta;Draw;76,746000;18;5817578;130030
mnk;4;6;minmax;random;Joueur1;97,779000;13;5805014;0
mnk;4;6;alphabeta;minmax;Joueur2;34,033000;11;184253;4964414
mnk;4;6;alphabeta;alphabeta;Joueur1;1,395000;8;84989;97870
mnk;4;6;alphabeta;random;Joueur1;1,037000;12;129562;0
mnk;4;6;random;minmax;Joueur2;71,255000;12;0;4975808
mnk;4;6;random;alphabeta;Draw;2,739000;18;0;169449
mnk;4;6;random;random;Joueur2;0,004000;18;0;0
mnk;5;5;minmax;minmax;Joueur1;386,148000;7;16261850;12492884
mnk;5;5;minmax;alphabeta;Joueur1;91,137000;6;15599113;240777
mnk;5;5;minmax;random;Joueur1;93,892000;6;15960789;0
mnk;5;5;alphabeta;minmax;Draw;74,808000;13;294438;12655439
mnk;5;5;alphabeta;alphabeta;Joueur1;3,732000;5;273760;224540
mnk;5;5;alphabeta;random;Joueur1;2,430000;7;322592;0
mnk;5;5;random;minmax;Joueur2;85,468000;12;0;12687165
mnk;5;5;random;alphabeta;Joueur2;1,404000;11;0;226741
mnk;5;5;random;random;Joueur2;0,000000;11;0;0
mnk;5;6;minmax;minmax;Draw;2976,329000;18;157341646;1323
